Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1396137600000)/,1JANATAMF,6.2,6.3,6.1,6.2,0,0,76500,0,0,0,30/03/2014 00:00:00,1396137600000
/Date(1396224000000)/,1JANATAMF,6.1,6.3,6.1,6.2,0,0,73000,0,0,0,31/03/2014 00:00:00,1396224000000
/Date(1396310400000)/,1JANATAMF,6.2,6.3,6.2,6.2,0,0,58000,0,0,0,01/04/2014 00:00:00,1396310400000
/Date(1396396800000)/,1JANATAMF,6.2,6.4,6.2,6.3,0,0,67500,0,0,0,02/04/2014 00:00:00,1396396800000
/Date(1396483200000)/,1JANATAMF,6.3,6.4,6.3,6.3,0,0,121000,0,0,0,03/04/2014 00:00:00,1396483200000
/Date(1396742400000)/,1JANATAMF,6.3,6.4,6.3,6.3,0,0,62000,0,0,0,06/04/2014 00:00:00,1396742400000
/Date(1396828800000)/,1JANATAMF,6.2,6.4,6.2,6.3,0,0,68500,0,0,0,07/04/2014 00:00:00,1396828800000
/Date(1396915200000)/,1JANATAMF,6.3,6.3,6.3,6.3,0,0,120500,0,0,0,08/04/2014 00:00:00,1396915200000
/Date(1397001600000)/,1JANATAMF,6.2,6.4,6.2,6.3,0,0,54500,0,0,0,09/04/2014 00:00:00,1397001600000
/Date(1397088000000)/,1JANATAMF,6.3,6.4,6.3,6.3,0,0,203000,0,0,0,10/04/2014 00:00:00,1397088000000
/Date(1397347200000)/,1JANATAMF,6.4,6.5,6.3,6.3,0,0,96000,0,0,0,13/04/2014 00:00:00,1397347200000
/Date(1397520000000)/,1JANATAMF,6.3,6.5,6.3,6.4,0,0,252500,0,0,0,15/04/2014 00:00:00,1397520000000
/Date(1397606400000)/,1JANATAMF,6.4,6.5,6.3,6.3,0,0,199000,0,0,0,16/04/2014 00:00:00,1397606400000
/Date(1397692800000)/,1JANATAMF,6.3,6.5,6.3,6.3,0,0,114500,0,0,0,17/04/2014 00:00:00,1397692800000
/Date(1397952000000)/,1JANATAMF,6.3,6.5,6.3,6.3,0,0,69000,0,0,0,20/04/2014 00:00:00,1397952000000
/Date(1398038400000)/,1JANATAMF,6.3,6.5,6.3,6.5,0,0,151500,0,0,0,21/04/2014 00:00:00,1398038400000
/Date(1398124800000)/,1JANATAMF,6.4,6.8,6.4,6.7,0,0,332500,0,0,0,22/04/2014 00:00:00,1398124800000
/Date(1398211200000)/,1JANATAMF,6.7,7.1,6.7,6.9,0,0,583500,0,0,0,23/04/2014 00:00:00,1398211200000
/Date(1398297600000)/,1JANATAMF,6.8,7.2,6.8,7,0,0,950000,0,0,0,24/04/2014 00:00:00,1398297600000
/Date(1398556800000)/,1JANATAMF,7,7.1,6.9,7,0,0,447000,0,0,0,27/04/2014 00:00:00,1398556800000
